,brain_rest_vol,hyperpallium_vol,brain_vol
Anas_platyrhynchos,5165.77,572.23,5738
Dendrocygna_eytoni,4350.93,499.07,4850
Tadorna_variegata,3942,215,4157
Aegotheles_insignis,1176.37,363.63,1540
Caprimulgus_vociferus,682.38,51.62,734
Eurostopodus_argus,922.7,59.3,982
Podargus_strigoides,4084.11,1226.89,5311
Nyctibius_griseus,1803.33,176.67,1980
Nyctidromus_albicollis,843.97,66.03,910
Steatornis_caripensis,3150.47,749.53,3900
Calidris_minutilla,459.34,12.66,472
Charadrius_vociferus,1053.26,19.74,1073
Limnodromus_griseus,1090.08,33.92,1124
Limosa_lapponica,2293,124,2417
Sterna_hirundo,1535.91,57.09,1593
Vanellus_miles,2558.15,127.85,2686
Vanellus_spinosus,1964,103,2067
Ardea_cinerea,7925.59,520.41,8446
Bubulcus_ibis,3804.3,220.7,4025
Egretta_thula,3543.59,196.41,3740
Nycticorax_caledonicus,3135.83,224.17,3360
Phalacrocorax_auritus,5941.8,1381.2,7323
Columba_livia,1905.57,187.43,2093
Phaps_elegans,1526.64,121.64,1648.28
Dacelo_novaeguineae,3338.7,176.3,3515
Todiramphus_sanctus,864.45,71.2,935.65
Falco_cenchroides,2958.45,252.55,3211
Falco_peregrinus,5658,529,6187
Alectoris_chukar,2335.39,164.61,2500
Chrysolophus_pictus,3193.88,175.12,3369
Colinus_virginianus,1021.82,69.18,1091
Coturnix_coturnix,739.75,71.25,811
Gallus_gallus,2860.66,132.34,2993
Meleagris_gallopavo,7520.96,469.04,7990
Numida_meleagris,3722.48,228.52,3951
Ortalis_canicollis,3170.17,203.83,3374
Pavo_cristatus,4279,281,4560
Phasianus_colchicus,1542.31,322.69,1865
Entomyzon_cyanotis,2097.12,129.88,2227
Garrulus_glandarius,3494.01,448.99,3943
Passer_domesticus,871.91,117.09,989
Strepera_versicolor,5088.12,278.53,5366.65
Puffinus_tenuirostris,4215.68,442.32,4658
Agapornis_personatus,2581.46,204.54,2786
Agapornis_roseicollis,1813.68,194.32,2008
Alisterus_scapularis,4272.45,506.55,4779
Amazona_aestiva,7143.8,759.2,7903
Aratinga_acuticaudata,4981.27,240.73,5222
Cacatua_roseicapilla,5976.67,676.33,6653
Calyptorhynchus_funereus,14041.3,2036.7,16078
Eclectus_roratus,5998.32,701.68,6700
Glossopsitta_concinna,2791.57,358.43,3150
Melopsittacus_undulatus,1135.65,84.35,1220
Myiopsitta_monachus,3443.39,253.61,3697
Neopsephotus_bourkii,1094.77,118.23,1213
Nestor_notabilis,11882.55,1505.48,13388.03
Nymphicus_hollandicus,2091.12,247.88,2339
Pionus_menstruus,5064.37,408.63,5473
Platycercus_elegans,3473.95,348.05,3822
Platycercus_eximius,2940.76,317.72,3258.48
Polytelis_swainsonii,2860.23,288.77,3149
Psephotus_haematonotus,1739.44,174.56,1914
Psittacula_eupatria,5648.36,557.26,6205.62
Psittacula_krameri,3673.33,565.67,4239
Psittacus_erithacus,5736.86,668.55,6405.41
Pyrrhura_molinae,4158.81,497.19,4656
Strigops_habroptila,13013.11,1754.89,14768
Trichoglossus_haematodus,3316.23,409.77,3726
Porphyrio_porphyrio,3950,236,4186
Spheniscus_magellanicus,14394.45,2362.55,16757
Aegolius_acadicus,2113.25,743.75,2857
Asio_flammeus,5425.622,795.418,6221.04
Athene_cunicularia,4170.33,1707.67,5878
Bubo_virginianus,14581.671,2617.419,17199.09
Bubo_scandiaca,13784.784,3561.186,17345.97
Ninox_boobook,4122.32,1503.68,5626
Strix_nebulosa,11552.545,1880.845,13433.39
Strix_varia,10690.738,2036.382,12727.12
Surnia_ulula,7863.958,1544.342,9408.3
Tyto_alba,4543.59,1605.41,6149
Apteryx_australis,5005,294,5299
Dromaius_novaehollandiae,20904,926,21830
Rhea_americana,16932.87,2295.13,19228
Nothura_darwinii,1396,86,1482
Tinamus_major,2108,134,2242
Crypturellus_tataupa,1516.8301,66.1699,1583
Agelaius_phoeniceus,1508.79789,106.0621103,1614.86
Amazilia_tzacatl,170.8750704,11.31492964,182.19
Bonasa_umbellus,2964.119761,171.8802392,3136
Fulica_americana,2491.460635,227.5393646,2719
Junco_hyemalis,818.0116927,61.03830729,879.05
Scolopax_rusticola,2463.262655,130.3673454,2593.63
Dinornis_robustus,44734.6325,4300.067503,49034.7
Llallawavis_scagliai,37254.67858,5215.321424,42470
Miocene_galliform,2974.675464,227.0045361,3201.68
Paraptenodytes_antarcticus,25543.73161,2902.068391,28445.8
Psilopterus_lemoinei,18612.52786,2172.372137,20784.9
