,endo_rest_SA,optic_lobes_SA,endo_SA,FM_SA,brain_rest_vol,optic_tectum_vol,brain_vol,FM_w
Agelaius_phoeniceus,727.605,104.378,831.983,11.08730879,1564.03,50.83,1614.86,4.08
Amazilia_tzacatl,179.9301,35.4318,215.3619,3.152980927,169.42,12.77,182.19,2.17
Anas_platyrhynchos,1934.294,164.07,2098.364,50.24726122,5486.52,251.48,5738,7.32
Apteryx_australis,2572.49,56.86,2629.35,44.99153379,8260.952,32.002,8292.954,8.55
Apus_apus,382.9507,56.858,439.8087,10.03738853,625.16,42.84,668,3.55
Ardea_cinerea,2157.019,296.687,2453.706,30.7483381,7748.22,697.78,8446,6.75
Bonasa_umbellus,1011.932,192.721,1204.653,19.72417532,2953.67,182.33,3136,5.76
Bubo_virginianus,3661.94,238.538,3900.478,44.1569697,16922.075,277.015,17199.09,8.48
Bubulcus_ibis,1123.645,199.453,1323.098,17.9095914,3813.98,211.02,4025,5.09
Buteo_swainsoni,2067.55,266.792,2334.342,38.15267928,7648.93,450.07,8099,7.65
Colinus_virginianus,548.154,104.633,652.787,11.99695695,978.7,112.3,1091,4.7
Columba_livia,825.213,128.07,953.283,19.7328147,1894.71,198.29,2093,5.38
Crypturellus_tataupa,557.4446,111.705,669.1496,7.510369937,1423.75,159.25,1583,3.75
Dacelo_novaeguineae,1335.651,271.61,1607.261,19.14800722,3181.1,333.9,3515,5.3
Dromaius_novaehollandiae,5415.27,446.025,5861.295,59.41615646,20535.09284,494.22816,21029.321,10.02
Fulica_americana,987.998,130.266,1118.264,26.7008672,2591.35,127.65,2719,6.06
Junco_hyemalis,363.755,70.086,433.841,5.921430913,828.51,50.54,879.05,2.98
Larus_philadelphia,893.348,140.89,1034.238,13.28893692,2352.24,160.31,2512.55,4.7
Meleagris_gallopavo,2298.252,372.964,2671.216,53.864491,7218.86,771.14,7990,7.68
Melopsittacus_undulatus,610.284,67.101,677.385,8.367317874,1160.36,59.64,1220,3.86
Mergus_serrator,1467.745,154.472,1622.217,38.92645355,4565.11,188.89,4754,6.53
Nyctidromus_albicollis,455.0156,70.239,525.2546,8.058185156,873.05,36.95,910,3.6
Passer_domesticus,494.271,63.331,557.602,7.500081222,926.31,62.69,989,3.59
Phalacrocorax_auritus,2904.18,259.001,3163.181,39.28404534,7135.76,187.24,7323,8.9
Picoides_pubescens,630.501,78.111,708.612,5.876741758,947.44,50.09,997.53,3.65
Psittacus_erithacus,2819.41,251.589,3070.999,26.05888274,6250.27,155.14,6405.41,7.12
Ptilinopus_superbus,577.27,93.829,671.099,9.03600587,985.95,66.15,1052.1,3.9
Rhea_americana,4244.01,514.68,4758.69,78.0882124,17941.4,1286.6,19228,9.7
Scolopax_rusticola,1135.354,97.177,1232.531,31.18973186,2488.71,104.92,2593.63,5.84
Spheniscus_magellanicus,3586.95,290.414,3877.364,77.91369692,16084.71,672.29,16757,10.83
Sphyrapicus_varius,604.601,71.578,676.179,7.696902001,823.3,65.1,888.4,4
Steatornis_caripensis,1258.252,97.586,1355.838,23.66208317,3795.3,104.7,3900,5.15
Thalassarche_melanophrys,4069.78,261.097,4330.877,75.09780889,13882.94,246.4,14129.34,10.45
Tyto_alba,2156.5,92.815,2249.315,23.52267499,6012.49,136.51,6149,5.99
Archaeopteryx_lithographica,664.6,115.207,779.807,15.30119928,1049.164658,111.6953415,1160.86,4.1915
Dinornis_robustus,8287.012,194.288,8481.3,183.0551061,48825.82542,208.874585,49034.7,14.1
Lithornis_plebius,1076.14,172.58,1248.72,30.08022606,2303.976531,197.9534694,2501.93,5.66
Llallawavis_scagliai,7812.85,664.25,8477.1,162.0223004,41241.12672,1228.873285,42470,14.12
Miocene_galliform,1226.646,172.904,1399.55,25.7522633,2992.631768,209.0482319,3201.68,5.52
Paraptenodytes_antarcticus,5407.678,454.022,5861.7,110.7851233,27582.97404,862.8259581,28445.8,11.6
Psilopterus_lemoinei,4689.515,454.485,5144,89.74273574,20057.2443,727.6557024,20784.9,9.2
