,brain_rest_vol,tectum_vol,brain_vol
Anas_castanea,3325.26,98.74,3424
Anas_clypeata,3191.07,97.93,3289
Anas_crecca,3042.08,123.92,3166
Anas_discors,2800.53,95.47,2896
Anas_platyrhynchos,5486.52,251.48,5738
Anser_anser,11730.3,393.7,12124
Aythya_affinis,4010.34,131.66,4142
Aythya_americana,5113.3,131.7,5245
Bucephala_albeola,3995.09,127.91,4123
Bucephala_clangula,5750.13,210.87,5961
Chenonetta_jubata,4178.21,150.79,4329
Dendrocygna_eytoni,4686.35,163.65,4850
Mergus_serrator,4565.11,188.89,4754
Apus_apus,625.16,42.84,668
Chaetura_pelagica,312.53,30.47,343
Collocalia_esculenta,111.49,9.51,121
Collocalia_troglodytes,129.29,9.71,139
Aegotheles_insignis,1466.36,73.64,1540
Caprimulgus_vociferus,675.19,58.81,734
Eurostopodus_argus,952.03,60.97,1013
Podargus_strigoides,5020.12,290.88,5311
Nyctibius_griseus,1854.42,125.58,1980
Nyctidromus_albicollis,873.05,36.95,910
Steatornis_caripensis,3795.3,104.7,3900
Calidris_minutilla,428.66,43.34,472
Charadrius_vociferus,942.35,130.65,1073
Larus_novaehollandiae,2792.07,176.08,2968.15
Larus_philadelphia,2352.24,160.31,2512.55
Limnodromus_griseus,1072.88,51.12,1124
Scolopax_rusticola,2488.71,104.92,2593.63
Sterna_hirundo,1471.51,121.49,1593
Vanellus_chilensis,2129.7,331.3,2461
Vanellus_miles,2480.53,205.47,2686
Ardea_cinerea,7748.22,697.78,8446
Bubulcus_ibis,3813.98,211.02,4025
Egretta_thula,3296.26,443.74,3740
Nycticorax_caledonicus,3091.05,268.95,3360
Columba_leucomela,2004.1,201.9,2206
Columba_livia,1894.71,198.29,2093
Ducula_spilorrhoa,2608.09,89.79,2697.88
Geopelia_humeralis,997.26,108.92,1106.18
Geopelia_placida,712.1,64,776.1
Leucosarcia_melanoleuca,2098.25,118.75,2217
Phaps_elegans,1493.67,154.61,1648.28
Ptilinopus_superbus,985.95,66.15,1052.1
Stigmatopelia_chinensis,1307.13,123.37,1430.5
