,Spec_No,optic_lobes_SA,optic_tectum_Vol
Agelaius_phoeniceus,OUVC_10682,104.378,50.83
Amazilia_tzacatl,USNM 613408,35.4318,12.77
Anas_platyrhynchos,USNM 631963,164.07,251.48
Apteryx_australis,USNM 18278,56.86,32.002
Apus_apus,CM S-15896,56.858,42.84
Ardea_cinerea,USNM 343978,296.687,697.78
Bonasa_umbellus,AMNH SKEL 21616,192.721,182.33
Bubo_virginianus,OUVC 10220,238.538,277.015
Bubulcus_ibis,OUVC 10895,199.453,211.02
Buteo_swainsoni,AMNH SKEL 18788,266.792,450.07
Colinus_virginianus,AMNH SKEL 2310,104.633,112.3
Columba_livia,OUVC 10567,128.07,198.29
Crypturellus_tataupa,AMNH SKEL 8560,111.705,159.25
Dacelo_novaeguineae,USNM 612711,271.61,333.9
Dromaius_novaehollandiae,OUVC 10515,446.025,494.22816
Fulica_americana,OUVC 10846,130.266,127.65
Junco_hyemalis,OUVC 10369,70.086,50.54
Larus_philadelphia,FMNH 390488,140.89,160.31
Meleagris_gallopavo,OUVC 10599,372.964,771.14
Melopsittacus_undulatus,OUVC 10569,67.101,59.64
Mergus_serrator,USNM 560276,154.472,188.89
Nyctidromus_albicollis,USNM 612302,70.239,36.95
Passer_domesticus,OUVC 10850,63.331,62.69
Phalacrocorax_auritus,OUVC 10644,259.001,187.24
Picoides_pubescens,FMNH 290218,78.111,50.09
Psittacus_erithacus,OUVC 10840,251.589,155.14
Ptilinopus_superbus,USNM 558285,93.829,66.15
Rhea_americana,CM S-9197,514.68,1286.6
Scolopax_rusticola,USNM_292760,97.177,104.92
Spheniscus_magellanicus,USNM_347603,290.414,672.29
Sphyrapicus_varius,USNM 502654,71.578,65.1
Steatornis_caripensis,AMNH SKEL 3167,97.586,104.7
Thalassarche_melanophrys,AMNH SKEL 23506,261.097,246.4
Tyto_alba,OUVC 10311,92.815,136.51
