,Spec_No,Wulst_SA,Hyperpallium_Vol
Agelaius_phoeniceus,OUVC_10682,115.495,106.0621104
Amazilia_tzacatl,USNM 613408,27.7021,11.31492964
Anas_platyrhynchos,USNM 631963,211.114,572.23
Apteryx_australis,USNM 18278,174.36,294
Ardea_cinerea,USNM 343978,233.329,520.41
Bonasa_umbellus,AMNH SKEL 21616,97.802,171.8802897
Bubo_virginianus,OUVC 10220,1145.29,2617.419
Bubulcus_ibis,OUVC 10895,147.655,220.7
Colinus_virginianus,AMNH SKEL 2310,50.775,69.18
Columba_livia,OUVC 10567,57.023,187.43
Crypturellus_tataupa,AMNH SKEL 8560,34.9846,66.1699
Dacelo_novaeguineae,USNM 612711,85.151,176.3
Dromaius_novaehollandiae,OUVC 10515,913.26,926
Fulica_americana,OUVC 10846,94.508,227.5393645
Junco_hyemalis,OUVC 10369,53.8244,61.03830729
Meleagris_gallopavo,OUVC 10599,238.072,469.04
Melopsittacus_undulatus,OUVC 10569,88.134,84.35
Nyctidromus_albicollis,USNM 612302,46.2976,66.03
Passer_domesticus,OUVC 10850,65.412,117.09
Phalacrocorax_auritus,OUVC 10644,534.31,1381.2
Psittacus_erithacus,OUVC 10840,424.81,668.55
Rhea_americana,CM S-9197,594.57,2295.13
Scolopax_rusticola,USNM_292760,75.574,130.3673916
Spheniscus_magellanicus,USNM_347603,546.88,2362.55
Steatornis_caripensis,AMNH SKEL 3167,214.832,749.53
Tyto_alba,OUVC 10311,616.3,1605.41
